Ano de exibição	Título da obra	Gênero	País(es) produtor(es) da obra	Nacionalidade da obra	Empresa distribuidora	Origem da empresa distribuidora	Público no ano de exibição	Renda (R$) no ano de exibição
2019	120 Batimentos Por Minuto	Ficção	França	Estrangeira	Imovision	Distribuição Nacional	10	70
2019	3 Faces	Ficção	Irã	Estrangeira	Imovision	Distribuição Nacional	6289	103805
2019	45 Dias Sem Você	Ficção	Brasil	Brasileira	O2 Play	Distribuição Nacional	3303	31295
2019	A 100 Passos De Um Sonho	Ficção	Estados Unidos	Estrangeira	Disney	Distribuição Internacional	69	4186
2019	A Abelhinha Maya - O Filme	Animação	Alemanha	Estrangeira	Playarte	Distribuição Nacional	402	3531
2019	A Batalha Das Correntes	Ficção	Estados Unidos	Estrangeira	Diamond Films	Distribuição Nacional	19579	425304
2019	A Bela da Tarde	Ficção	França, Itália	Estrangeira	Zeta Filmes	Distribuição Nacional	14	253
2019	A Cabeça De Gumercindo Saraiva	Ficção	Brasil	Brasileira	Elo Company	Distribuição Nacional	195	1830
2019	A Caminho De Casa	Ficção	Estados Unidos	Estrangeira	Sony	Distribuição Internacional	652641	9445705
2019	A Casa De Veraneio	Ficção	França, Itália	Estrangeira	Imovision	Distribuição Nacional	8001	137759
2019	A Casa Que Jack Construiu	Ficção	Alemanha, Dinamarca, França, Suécia	Estrangeira	Califórnia	Distribuição Nacional	530	4466
2019	A Cidade Dos Piratas	Animação	Brasil	Brasileira	Lança Filmes	Distribuição Nacional	2364	32055
2019	A Cinco Passos De Você	Ficção	Estados Unidos	Estrangeira	Paris	Distribuição Nacional	1346982	19364671
2019	A Costureira De Sonhos	Ficção	França, Índia	Estrangeira	Imovision	Distribuição Nacional	21464	360398
2019	A Câmera De Claire	Ficção	Coréia do Sul, França	Estrangeira	Pandora Filmes	Distribuição Nacional	72	456
2019	A Espiã Vermelha	Ficção	Inglaterra	Estrangeira	Califórnia	Distribuição Nacional	35593	676079
2019	A Esposa	Ficção	Estados Unidos, Reino Unido, Suécia	Estrangeira	Alpha Filmes	Distribuição Nacional	170609	3056791
2019	A Excêntrica Família De Gaspard	Ficção	França	Estrangeira	Bonfilm	Distribuição Nacional	39	344
2019	A Família Addams	Animação	Canadá, Estados Unidos, Inglaterra	Estrangeira	Universal	Distribuição Internacional	1622344	24330901
2019	A Família Submersa	Ficção	Brasil, Argentina	Brasileira	Esfera Produções	Distribuição Nacional	2538	38427
2019	A Favorita	Ficção	Estados Unidos	Estrangeira	Fox	Distribuição Internacional	254709	4988357
2019	A Fera Na Selva	Ficção	Brasil	Brasileira	O2 Play	Distribuição Nacional	3106	41232
2019	A Filosofia na Alcova	Ficção	Brasil	Brasileira	Espaço dos Satyros	Distribuição Nacional	150	2493
2019	A Forma Da Água	Ficção	Estados Unidos	Estrangeira	Disney	Distribuição Internacional	13	26
2019	A Fábrica De Nada	Ficção	Portugal	Estrangeira	Imovision	Distribuição Nacional	6	21
2019	A Garota Na Névoa	Ficção	Itália	Estrangeira	A2 Filmes	Distribuição Nacional	215	1924
2019	A Grande  Dama  Do Cinema	Ficção	Argentina	Estrangeira	Fênix Filmes	Distribuição Nacional	24992	426096
2019	A Grande Mentira	Ficção	Estados Unidos	Estrangeira	Warner	Distribuição Internacional	39508	844595
2019	A História De Um Sonho	Documentário	Brasil	Brasileira	Elo Company	Distribuição Nacional	4910	35242
2019	A Irmandade	Documentário	Brasil	Brasileira	Lume Produções Cinematográficas	Distribuição Nacional	684	6611
2019	A Juíza	Documentário	Estados Unidos	Estrangeira	Flow Filmes	Distribuição Nacional	6287	78834
2019	A Lenda De Golem	Ficção	Israel	Estrangeira	Playarte	Distribuição Nacional	8077	121734
2019	A Luta Do Século	Documentário	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	25	56
2019	A Luz No Fim Do Mundo	Ficção	Estados Unidos	Estrangeira	Imagem	Distribuição Nacional	7335	154823
2019	A Maldição Da Chorona	Ficção	Estados Unidos	Estrangeira	Warner	Distribuição Internacional	361053	5617449
2019	A Maldição Da Freira	Ficção	Reino Unido	Estrangeira	Playarte	Distribuição Nacional	148557	2285835
2019	A Maratona De Brittany	Ficção	Estados Unidos	Estrangeira	Diamond Films	Distribuição Nacional	2380	47201
2019	A Menina E O Leão	Ficção	África do Sul, Alemanha, França	Estrangeira	Paris	Distribuição Nacional	34883	572953
2019	A Misteriosa Morte De Pérola	Ficção	Brasil	Brasileira	Embaúba Filmes	Distribuição Nacional	10	56
2019	A Morte Te Dá Parabéns 2	Ficção	Estados Unidos	Estrangeira	Universal	Distribuição Internacional	595463	8504116
2019	A Mula	Ficção	Estados Unidos	Estrangeira	Warner	Distribuição Internacional	177958	3957700
2019	A Mulher Do Meu Marido	Ficção	Argentina, Brasil	Brasileira	Bretz Filmes	Distribuição Nacional	3018	50248
2019	A Música Da Minha Vida	Ficção	Reino Unido	Estrangeira	Warner	Distribuição Internacional	17464	380002
2019	A Música Do Tempo - Do Sonho Do Império Ao Império Do Sonho	Documentário	Brasil	Brasileira	Espaço Filmes	Distribuição Nacional	317	5222
2019	A Noite Amarela	Ficção	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	1798	12920
2019	A Noite De 12 Anos	Ficção	Argentina, Espanha, Uruguai	Estrangeira	Vitrine Filmes	Distribuição Nacional	1426	23535
2019	A Nossa Espera	Ficção	Bélgica, França	Estrangeira	Vitrine Filmes	Distribuição Nacional	10020	155360
2019	A Número Um	Ficção	França	Estrangeira	Imovision	Distribuição Nacional	6	54
2019	A Odisseia Dos Tontos	Ficção	Argentina, Espanha	Estrangeira	Warner	Distribuição Internacional	124934	2420806
2019	A Outra Mulher	Ficção	França	Estrangeira	Imovision	Distribuição Nacional	9	63
2019	A Parte Do Mundo Que Me Pertence	Documentário	Brasil	Brasileira	Olhar Distribuição	Distribuição Nacional	571	6299
2019	A Pedra Da Serpente	Ficção	Brasil	Brasileira	Elo Company	Distribuição Nacional	507	4346
2019	A Pequena Travessa	Ficção	Alemanha	Estrangeira	Paris	Distribuição Nacional	9298	135533
2019	A Prece	Ficção	França	Estrangeira	Imovision	Distribuição Nacional	322	3178
2019	A Pé Ele Não Vai Longe	Ficção	Estados Unidos	Estrangeira	Diamond Films	Distribuição Nacional	10961	183761
2019	A Quarta Parede	Ficção	Brasil	Brasileira	Elo Company	Distribuição Nacional	1455	12327
2019	A Rebelião	Ficção	Estados Unidos	Estrangeira	Diamond Films	Distribuição Nacional	22732	366619
2019	A Resistência De Inga	Ficção	Alemanha, Dinamarca, França, Islândia	Estrangeira	Imovision	Distribuição Nacional	1078	16652
2019	A Rosa Azul De Novalis	Documentário	Brasil	Brasileira	Vitrine Filmes	Distribuição Nacional	704	4923
2019	A Rota Selvagem	Ficção	Estados Unidos	Estrangeira	Califórnia/Diamond Films	Distribuição Nacional	64	1570
2019	A Sereia: Lago Dos Mortos	Ficção	Rússia	Estrangeira	Paris	Distribuição Nacional	235011	3304494
2019	A Serpente	Ficção	Brasil	Brasileira	Jura Filmes	Distribuição Nacional	527	5591
2019	A Sombra Do Pai	Ficção	Brasil	Brasileira	Pandora Filmes	Distribuição Nacional	2908	43183
2019	A Tabacaria	Ficção	Alemanha, Áustria	Estrangeira	A2 Filmes	Distribuição Nacional	58901	1021174
2019	A Turma Do Pererê.Doc	Documentário	Brasil	Brasileira	O2 Play	Distribuição Nacional	472	4332
